iter	Passed	Remaining
841	3969	744
842	3979	741
843	3982	736
844	3985	730
845	3987	725
846	3990	720
847	3993	715
848	3995	710
849	3999	705
850	4001	700
851	4004	695
852	4007	690
853	4010	685
854	4014	680
855	4018	675
856	4022	671
857	4026	666
858	4033	662
859	4042	658
860	4054	654
861	4059	649
862	4065	645
863	4069	640
864	4081	637
865	4100	634
866	4109	630
867	4114	625
868	4123	621
869	4131	617
870	4136	612
871	4139	607
872	4147	603
873	4155	599
874	4160	594
875	4170	590
876	4182	586
877	4186	581
878	4190	576
879	4194	571
880	4197	566
881	4202	562
882	4206	557
883	4210	552
884	4213	547
885	4220	543
886	4223	538
887	4229	533
888	4239	529
889	4243	524
890	4246	519
891	4260	515
892	4266	511
893	4269	506
894	4274	501
895	4286	497
896	4290	492
897	4295	487
898	4299	483
899	4302	478
900	4307	473
901	4325	469
902	4331	465
903	4335	460
904	4342	455
905	4351	451
906	4358	446
907	4368	442
908	4374	437
909	4377	432
910	4383	428
911	4390	423
912	4393	418
913	4397	413
914	4401	408
915	4406	404
916	4410	399
917	4415	394
918	4423	389
919	4428	385
920	4432	380
921	4462	377
922	4466	372
923	4471	367
924	4475	362
925	4479	357
926	4482	352
927	4486	348
928	4489	343
929	4492	338
930	4495	333
931	4498	328
932	4503	323
933	4507	318
934	4510	313
935	4515	308
936	4518	303
937	4521	298
938	4524	293
939	4528	289
940	4534	284
941	4539	279
942	4547	274
943	4558	270
944	4565	265
945	4569	260
946	4573	255
947	4577	251
948	4581	246
949	4585	241
950	4588	236
951	4591	231
952	4593	226
953	4597	221
954	4600	216
955	4603	211
956	4606	206
957	4609	202
958	4615	197
959	4619	192
960	4623	187
961	4625	182
962	4629	177
963	4632	172
964	4635	168
965	4647	163
966	4650	158
967	4654	153
968	4658	149
969	4663	144
970	4668	139
971	4671	134
972	4676	129
973	4680	124
974	4684	120
975	4687	115
976	4695	110
977	4698	105
978	4700	100
979	4705	96
980	4713	91
981	4719	86
982	4723	81
983	4727	76
984	4731	72
985	4735	67
986	4738	62
987	4741	57
988	4745	52
989	4748	47
990	4753	43
991	4756	38
992	4759	33
993	4762	28
994	4764	23
995	4767	19
996	4771	14
997	4775	9
998	4778	4
999	4780	0
